2016-06-07 23:15:51 startup archives unpack
2016-06-07 23:15:51 upgrade base-files:amd64 8+deb8u4 8+deb8u5
2016-06-07 23:15:51 status half-configured base-files:amd64 8+deb8u4
2016-06-07 23:15:51 status unpacked base-files:amd64 8+deb8u4
2016-06-07 23:15:51 status half-installed base-files:amd64 8+deb8u4
2016-06-07 23:15:51 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-07 23:15:51 status triggers-pending install-info:amd64 5.2.0.dfsg.1-6
2016-06-07 23:15:52 status half-installed base-files:amd64 8+deb8u4
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-07 23:15:52 status half-configured man-db:amd64 2.7.0.2-5
2016-06-07 23:15:52 status installed man-db:amd64 2.7.0.2-5
2016-06-07 23:15:52 trigproc install-info:amd64 5.2.0.dfsg.1-6 <ninguna>
2016-06-07 23:15:52 status half-configured install-info:amd64 5.2.0.dfsg.1-6
2016-06-07 23:15:52 status installed install-info:amd64 5.2.0.dfsg.1-6
2016-06-07 23:15:52 startup packages configure
2016-06-07 23:15:52 configure base-files:amd64 8+deb8u5 <ninguna>
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status unpacked base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status half-configured base-files:amd64 8+deb8u5
2016-06-07 23:15:52 status installed base-files:amd64 8+deb8u5
2016-06-07 23:15:52 startup archives unpack
2016-06-07 23:15:52 upgrade dpkg:amd64 1.17.26 1.17.27
2016-06-07 23:15:52 status half-configured dpkg:amd64 1.17.26
2016-06-07 23:15:52 status unpacked dpkg:amd64 1.17.26
2016-06-07 23:15:52 status half-installed dpkg:amd64 1.17.26
2016-06-07 23:15:52 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-07 23:15:52 status half-installed dpkg:amd64 1.17.26
2016-06-07 23:15:53 status unpacked dpkg:amd64 1.17.27
2016-06-07 23:15:53 status unpacked dpkg:amd64 1.17.27
2016-06-07 23:15:53 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-07 23:15:53 status half-configured man-db:amd64 2.7.0.2-5
2016-06-07 23:15:53 status installed man-db:amd64 2.7.0.2-5
2016-06-07 23:15:53 startup packages configure
2016-06-07 23:15:53 configure dpkg:amd64 1.17.27 <ninguna>
2016-06-07 23:15:53 status unpacked dpkg:amd64 1.17.27
2016-06-07 23:15:53 status unpacked dpkg:amd64 1.17.27
2016-06-07 23:15:53 status unpacked dpkg:amd64 1.17.27
2016-06-07 23:15:53 status unpacked dpkg:amd64 1.17.27
2016-06-07 23:15:53 status unpacked dpkg:amd64 1.17.27
2016-06-07 23:15:53 status half-configured dpkg:amd64 1.17.27
2016-06-07 23:15:53 status installed dpkg:amd64 1.17.27
2016-06-07 23:15:53 startup archives unpack
